태영,백승빈,오주연,A,차주형,최강민(차주형),강경민(차주형),지나가는 1학년이니???,한재원,박세윤,현채원,김도현,박준서인척하는 한재원과 박세윤
,"ㅍㅌㅊ의 기준이?평균급으로는 솔직히 조올라게 노력하고 거기다 운좋아야될건데.. 한두번 하급여자만나는거면 몰라도..폭격?이병헌탑주진모장동건도 노력하고, 누구(일반인)는 10억을 바쳐도(별풍선) 까이는게 한국 남녀관계인디",성당사진 퍼온 건줄 알았는데 현판같은 거노?|0,가자섹스자료실,,,,"""십새끼"",",subnormal,붕딲,씁새,,
,역시 고상한척하면서 트위터에 야짤올리는건 뭔가,음식전부 원단가 솔직히 1만5000원 절대 안넘는다 목아지 건다|0,가자섹스코리아,,,,"""십세"",",sudaca,붕뛴,씁얼,,
,시발ㅋㅋㅋ 일이 점점 더 커지놐ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 대책 없이 일이 크게 번져가네,그게 너가 세상살아가는데 제일 합리적인것 같다|0,가정섹스전문점,,,,"""십쉐"",",s하고e싶다x,붕싄,씌파,,
,그냥 한석원쌤 같은 리버스 투블럭 틀딱들만 보다가 얼굴 좀 예쁜 여자쌤이 가르치니 한남들 발정나서 보는거임,작가님|0,가지와오이성인용품,,,,"""십쉐이"",",Te faire enculer,붕시나,씨8,,
,용접이랑 영어 배워서 호주가면 진짜 사람답게는 산다돈 오지게 번다 한국보다는,그냥 유행이라도 따라가라 자기가 진짜 개성있게 옷잘입는거아니면 유행만 따라가도 반은간다 ㅇㅇ 옷입는거한정|0,가지와오이섹스샵,,,,"""십스키"",",Tranny,붕신, 씨끼,,
,첫번째 이유가 ㄹㅇ 맞지특히나 뉴스나 기사 몇줄읽은 학생들끼리 대화해도 서로 존나 싸움 ㅋㅋㅋㅋㅋ 근데 둘다 ~~~아닌가? 이런식으로 밖에 대화못함기사 뉴스 제대로 읽어본것도 별로없고 그냥 비전문가니  뭐 이게 팩트인지 아닌지도 판단이 안되는 상황 ㅋ,내 댓글이 마운트 까는게 주 포인트는 아니긴 했는데나도 마운트 좋아함 하드워커에 에너지풀해서 ㅎㅎㅎㅎ|0,강간,,,,"""십쌔"",",Twat,붕알,씨댕,,
,천원 이천원이 우습냐 찐따새끼야ㅋㅋㅋㅋ,박사야!|0,강남카페섹스비디오테이프,,,,"""십알"",",verga,붜지,씨뎅,,
,ㅋㅋㅋ 난 저경기 뉴욕가서 먹었는디원정마이애미는 애미가 갈려하면 싸대기 떄려도 무죄라더라,씨이발|1,강쇠닷컴,,,,"""십창"",",violar,붱신,씨바,,
,저거 조작이잖냐드루킹 좆선족 짱깨들이 조작하는거임 추천수,세상만사는 니가 생각하는것보다도 훨씬 더 복잡하다.|0,강한성인영화,,,,"""십탱"",",Violer,뷍슨,씨바랄,,
,시봘 존나 웃기네 섹스리스 였는데 야동에 출현해서 섹스하는 거 보고 꼴려서 둘째 임신 ㅋㅋ,일베는 뭐든지 다 깜 그냥 아가리로 까기만함 ㅋㅋㅋㅋ거기까지 만함 ㅋㅋ 행동 일절 노노 ㅋㅋㅋ|1,걸섹스코리아갤러리,,,,"""십할"",",Wank,뷍싄,씨박,,
,"개씨발 , 나라 개좆같네,다 디져라",글쎄 옆집 아저씨가 사줬나부지뭐|0,경고섹스포르노,,,,"""싶알"",",wyjebac,뷍신,씨발,,
,그럼 세울려고 홍준표상상하는거야? 노땅취향의 게이였단 말이노.,나 K2 흑열전차 실제로봤는데 위압감 미쳤음 ㄷㄷ;;K9 자주포 K2 흑열전차 ㅆㅅㅌㅊ 밀덕되는이유를 알겠더라|0,경마장가는길성인용품,,,,"""싸가지"",",wyjebany,뷩쉬,씨방,,
,발랐으면 인성질은 기본이지..    과거 비등했던 적이 무너져서  앙탈 못부리고 마음대로 할수 있게 되었는데 ㅎㅎㅎㅎ,죽여버려야지 저런놈은|1,경아닷컴,,,,"""싹아지"",",wyjebć,뷩쉰,씨방새,,
,ㅋㅋㅋㅋㅋㅋㅋㅋㅋ150000만원 이지랄,진짜 본인애니보고 딸치게 생긴 씹덕 얼굴상 얼굴깐글에 욕도 박을수있으니 김치응딩이 ㅅㅌㅊ|1,고69섹슈얼,,,,"""쌉년"",",XX할,뷩싄,씨방세,,
,앙헬 가고 싶다 빨통을 그냥 핥짝 핥짝,아가리가 왜저렇냐|1,고공섹스,,,,"""쌍넘"",",x섹x스x해x,뷩신,씨밸,,
,깜빡이 킨 차가 어딨어 븅신아 뚜벅이새끼 입좀 닥쳤으면 한다,이건 김성령이지 |0,고려섹시인포디렉토리,,,,"""쌍년"",",x위,뷰웅신,씨뱅,,
,버닝썬 사건이 엊그제 같은데 나라꼴이 망했구나,난 재미교포 크리스리 그년은 진짜 느끼면서 하는년임|1,고섹스588,,,,"""쌍놈"",",x지,븅딱,씨벌,,
,난 그렇게 봐.  분탕들한테 놀아나서 부화뇌동하는 빡대가리도 분탕이라고,복싱에선 여태 일본이 많이 쳐발렸다..|1,고섹스PORNO,,,,"""쌍뇬"",",yangkee,븅쉰,씨벨,,
,ㅋㅋㅋㅋㅋ 인생수준ㅋㅋ,어차피 기존의 항암치료 다 하면서 보조적으로 먹는 것치기 때문에 밥줄 끊길 일 없음. 펜벤다졸만 먹고 암이 호전됐다거나 치료됐다고 하는 사람은 없었다|0,고에로TV,,,,"""쌔끼"",",zajebane,븅싄,씨봉,,
,병신아 저거 유튜브로 재전송하면서 덧씌운 자막이잖아 자막 뒤에 방송사 워터마크 안보임?,"벤치에서 꿀잠자고있던 아재, 어떤 20대놈이 그 아재 아리랑치기하고 사까시했던 짤방 진짜 쇼킹이었음|0",고우섹스,,,,"""쌕"",",zajebany,븅시,씨봉알,,
,그건 기술자가 아니라 기사다 개병신아 제발 좀 ㅋㅋ,"ㅋ free radical 과 antioxidant의 균형이 깨져 oxidative stress 가 이뤄지는건데, 니 말마따라 산화과정 자체를 스트레스라고 치면,|0",고우섹스성인용품점,,,,"""쌩쑈"",",zaji,븅신,씨부랄,,
,"저건 아무것도 아님한가족 4명인가 공원 산책 나왔는데 하나같이 시커먼 소세지 패딩 쳐입고 잇드라소세지 패딩도 그렇고다 똑같이 시커먼 색 ㅡ,ㅡ;",외과의사 만큼은 최고로 쳐야한다.|0,고자섹스,,,,"""쌰럽"",",zazi,븅아,씨부럴,,
,그 새끼 호모 게이임,세스코도 졵나 감당안되는곳은 그냥 물건 싹다버리라거나 포기함|1,고추짱,,,,"""쌴년"",",zazy,브랄,씨부렁,,
,아니 김밥을 왜 묻냐니까 개 좆같은 븅신새꺄?,엑소 중국놈들이 통수쳐서 그후로 sm에서 중국국적 제대로 안키우더만. 아무튼 아이돌 산업 그거 생 구라 아니냐. 저 새끼들 중에 안쳐대고 다니는 놈 없을걸. 저런데 돈 쓰는게 병신호구지. 유사 연애감정으로 돈 버는 주제에 한번에 임신에 결혼까지 해버리네.당연 팬들 입장에선 빡치지. 아무튼 이런걸 알아서인지 제대로 된 남자는 딱히 좋아하는 연예인 없음.|1,고투에로,,,,"""썅"",",zot,블알,씨부리,,
,역삼 교대쪽 다단계팔이들도 마찬가지다 대부분 국세청 소득통계 보면 쟤네들 월100만원도 못버는 병신들이90%이상이라고 보면됨 어설픈 세미정장입고 우르르 국밥집 편의점도시락 전전하는 카페충들 대부분 다단계 병신들이다 배운건 없고티비 연예인처럼 화려한 삶은 살고 싶고 무작정 서울올리와서빠져드는게 저딴 병신짓거리 ㅋㅋ이글 보는 다단계충 보험충은 무능력하면 공부를 하거나 몸쓰는 일해라개병신주제에 강남물 흐리지말고 ㅎㅎ,순 연봉만 따지면 비비는데 광고 이런데서 딴 종목이 압살해서 그런듯|0,고패티쉬,,,,"""썅년"",",가튼넘,븡딱,씨불,,
,개소리 하네 위장보수임,기술-공대-엔지니어기능-공고-테크니션기능공들은 기술인이라고 구라차지마~|0,고혈압야동,,,,"""썅놈"",",가튼년,븡쉰,씨붕,,
,좆냥이주인쉑덜왜 집사집사 ㅇㅈㄹ함 ?,이거 ㅇㅂ 주는새끼들좆뉴비새끼들이냐? 본거 또보고 또보고 꾸준히 쳐 올리네.좆망 병신 사이트 ㅉ|1,공짜만화,,,,"""썡쇼"",",가튼놈,븡신,씨브랄,,
,이국 말고 러시아에 돌고래 수용소로 이감~~,위조된 신분으로 학교를 들어가다니|0,과부촌,,,,"""써벌"",",가튼뇬,븽딱, 씨빠,,
,환율시세로살거면 은행가서사지 왜씨발중고나라에서 돈을사고자빠짐?,생물학적으로 번식가능한데 사회화를 위한다는 이유로 억압하고 있는거지|0,국제성인마트,,,,"""썩을년"",",갇은넘,븽쉬,씨빨,,
,덕분에 좆중딩~20대 까지 클론 양ㅋ성ㅋ,3대몇|0,굿걸TV,,,,"""썩을놈"",",갇은년,븽슨,씨뽀랄,,
,응 일베 개새끼^^,니 꼬치다ㅋㅋㅋ|1,굿나잇TV,,,,"""쎄꺄"",",갇은놈,븽싄,씨앙,,
,멍청한 년,제발좀 잡아가두자~~|0,굿나잇티브이,,,,"""쎄엑"",",갇은뇬,븽시,씨파,,
,유시민과 관련된 구린것도 없애버리네 저 미친 시발 새키가,저 양반은 어쩌다 저리 됐을까요?|0,굿섹스클럽,,,,"""쎄엑스"",",갈보,븽신,씨팍,,
,느그 할배 그러나보다 ㅋㅋ,꼬시다 꼬수워노가다 세끼들 제발 좌파해라 쪽팔린다|1,그룹섹스,,,,"""쎅쓰"",",강간,비잉신,씨팔,,
,저걸 히죽거리며 얘기하노 씨발새끼,조국 사태보면 박탈감 느낄만하지 근데 백수새기들은 그냥 노력안해서 취업못하는거|0,글래머샵,,,,"""쎡"",",같은넘,빙딱,씨펄,,
,병신 조선처럼 인터넷 검열/통제 안하는점도 있음,언론사어디고?|0,김마담성인쇼핑몰,,,,"""쎽"",",같은년,빙쉬,씸년,,
,지금 너혼자 울분을 토해도 이미 김치국은 망하기 전까지는 그대로 있는거 퍼먹기로 정해졌다,역성장이 아니구|0,꼬추닷컴,,,,"""쎾"",",같은놈,빙쉰,씸뇬,,
,ㅇㅇ 동탄아지매 2명이랑 만나봤지  뇌가없는대신 이쁘다,얘도 헌법 강의해서 조무사 되면 저 사태 해결 가능함|0,나고야섹스미드머니,,,,"""쎾스"",",같은뇬,빙싀,씸새끼,,
,한다 나도 저새기ㅈㄴ싫어서,땅콩 사무장양반 중간에 낑기게 한게 더얄미움|1,나나성인용품,,,,"""쏐"",",같은새끼,빙싄,씹같,,
,456으로 끝낫어야할 영화 존나지겹노,ㅋㅋㅋㅋㅋㅋ어이가 없노|0,나우누리어른만화방,,,,"""쏐쓰"",",같은쌔,빙시,씹년,,
,한걸레는 가난한 좃쭝똥일뿐입니다.,와.... ㄷㄷㄷ비호세력이 있는지 탈탈 털어야됨|0,나이스69,,,,"""쑤시자"",",개가든,빙신,씹뇬,,
,존나 징징대서 싫음,어휴 조선 새끼들은 그저 꼬투리 잡는건 기집이나 사내 새끼들이나 똑같다. 왠만하면 하는게 용접이니 비유를 한거 가지고 아직도 이지랄들을 하고 자빠졌네|1,나이스성인샵,,,,"""쑤우시자"",",개가뜬,빠걸,씹보지,,
,찢어벌라??? 벌라??? 딱 말투가 그짝이네 ㅋㅋㅋㅋㅋ,개소리ㅁㅈㅎ|1,나조아성인몰,,,,"""쒝"",",개가턴,빠구리,씹새,,
,짱깨 새끼들 때문에 지금 전세계 경제가 초토화 인데 코로나 끝나고 어떻해 나오나 보자 썅것들,목도리 같은 건 펜디|0,나체,,,,"""쒞"",",개가툰,빠굴,씹새기,,
,가만보면 그룹내에서 존재감 제일 없는 새끼들이 꼭 저렇게 파토내더라,과거 글이 없잖아?|0,남녀섹시속옷,,,,"""쒸벌"",",개가튼,빠굴이,씹새끼,,
,썅것들은 오래오래 살려두고....,좀 그만해라 씨발새끼들아ㅋ|1,남녀자위기구,,,,"""쒸뻘"",",개갇은,빠꾸리,씹새리,,
,미친년이네 ㅋㅋㅋ 손봐라 ㅆㅂ 외모도 보이네,기승전 베들베들 목적에 충실한 벌레구더기|1,남성단련용품,,,,"""쒸팔"",",개갈보,빠도리,씹세,,
,일반적으로 남자가 저런 상황에 처하는데정작 자기가 쳐해보니 ㅈ같다 이거지 저러고도평균 남자들 이해못하면 공감능력 제로라는 소리,ㄷㄷ|0,남성자위기구,,,,"""쒸펄"",",개같,빠돌이,씹쉐,,
,말도 안되는 개소리임. 여자가 하는 말 잘 들어보면 90%가 쓸데없는 잡소리임.  즉 위 짤 같은애 한테 분노 할 필요가 없다는 말임.,이러고 그래 나도 좋아|0,네버섹스,,,,"""쓰바"",",개같은넘,빠라,씹스키,,
,얘는 진짜 줏어들은 소리로 십년전 이야기를 하노,나잇값 못하는 발기부전 땅꼬마|1,네비로스섹스샵,,,,"""쓰박"",",개같은뇬,빠라조,씹쌔,,
,똑 떨어져라 시벌련,저러다 뒤지면 후방주시 태만으로 버스기사한테 책임 묻겠지|0,노노티브이,,,,"""쓰발"",",개걸레,빠라줘,씹이,,
,아직도 씨를말려야할정도의 머리를 가지고 댓글다는분들이있네..,한 말을 그대로 적지 않고 변경했지?|0,노브라,,,,"""쓰벌"",",개너마,빠러,씹자지,,
,여초년들 물타기에 넘어간새끼들이 몇몇보이네,씨발년아 웃겨?|1,노브라TV,,,,"""쓰파"",",개너므,빠수니,씹질,,
,보잘알 ㅇㅈ ㅋ,이글을 읽어보시면 Navigant Research가 왜 말이 안되는지 (nonsense) 그리고 왜 테슬라가 여기에서 꼴찌로 나와있는지 비판합니다. 일단 Navigant Research는 리포트를 만들어서 $3000~6000 불 가량씩 주고 파는 곳입니다.|0,노팬티브이,,,,"""쓰팔"",",개넌,빠순이,씹창,,
,인간자체에 환멸이 난다 씨발꺼 ㅋㅋㅋ,픽업아티스트다|0,논스톱러브성인유머,,,,"""씁새"",",개넘,빠큐,씹탱,,
,존나귀여워...,가족끼리 싸우지마요~~~~|0,누나몰카,,,,"""씁얼"",",개녀나,빡돌,씹퇭,,
,후자는 좆같아서 자퇴. 공부 존나 빡세게 해서 재수능 네임드대 입학하는거,주민들한테 삽으로 머리를 내리 찍혀야 정신을 차릴려나|1,누두,,,,"""씌파"",",개년,빡촌,씹팔,,
,그럼 마리아 보지가 스타게이트였노?,싸캐스틱이다 /ɑː /|0,누드,,,,"""씨8"",",개노마,빡큐,씹할,,
,붕신새끼들ㅋㅋ 또결혼못해서 안달낫네 ㅋㅋㅋㅋ,건강한 생활습관을 가지고 살면 심하게 살찔일도 없다|0,누드112,,,,"""씨가랭"",",개노무새끼,빨어핥어박어,씹헐,,
,너도 위대해지고 싶으면 니애미 젖탱이나 주무르던지,"니가 정중하게 나오는 걸 보니 본인 하는 말에 큰 뜻을 담았던 것은 아닌 걸로 보이니 더 강하게 말 안한다. 지금 문제가 되는건 중증 '외상'환자이고, 내 의견은 이 처참하게 다친 반송장과 그 처치에 대해 한국의 의료시스템이 변태적으로 되어 있다는 거다. 그런데 저 본문 글 쓴 인간처럼 일부러 사태의 본질을 시스템이라는 식으로 확정 시키고서는 의사 개개인의 열성도 혹은 현행에서의 희생의 감수 따위를 논의 바깥으로 아예 차단시키려는 여러 이기적인 논리적 정황 속에서 읽히는 네 댓글은 단순한 사실진술이 아닌거란 거다. |0",누드119,,,,"""씨끼"",",개논,빨자좃,아가리,,
,제사는 더 병신같은 유교에서 시키는건데,이석기 옹호했다면서 ㅋㅋㅋ 그걸 설명을 해야지 단편만가져와서 우기는건 노인정용임|0,누드25시,,,,"""씨댕"",",개놈,빨자좆,아갈,,
,돈은 누가내고? 피해보는 직원들은 누가 책임지고? 꼬우먼 지가 병원파서 적자보면서 치료해라 ㅉㅉ,어렸을 때부터 키웠던 리트리버 키우고 일주일만 슬펐다 죽음에 너무 슬퍼하면 약해진다|0,누드molcaTV,,,,"""씨뎅"",",개뇨나,빽보지,아갈이,,
,홍어자슥 ^^ 조용히 분탕치면 내가 가만히 놔둘거 같았노? 홍어야 아쉽지만 우리같은 엘리트들에게 딱걸렸노 이기야~ 너 신고됐으니 밴먹기전 남은시간동안 어디 마음껏 짖어보려무나 ㅎㅎ;;,난 이미 2010년 6월 지방선거때 한짓보고 손절|0,누드갤러리,,,,"""씨바"",",개뇬,빽자지,아갈통,,
,"메이웨더는 순 깜둥이인데 잘생긴편이고목소리도 ㅈㄴ 멋짐자기 직업,벌이에 프라이드도 높은편이고무엇보다 엄청 노력하는 편이지그래서 멋있음",몰랐던 건데 좋은 정보네여..ㅎㅎㅎ|0,누드다이어리,,,,"""씨바랄"",",개뇸,뺑신,아구창,,
,아이디 걸어라 씨발,그 연장선에서 박사모틀딱을 다 죽여야 그게 보수가 사는 가장 중요한거임 ㅋㅋ 설명하자면 길어지는데 암튼 틀틀거리는거는 잘못 아님|1,누드모델,,,,"""씨박"",",개뇽,뺑쒼,아구통,,
,우파 성향 남자가 최하위 계층이노 ㅅㅂ ㅠ,맞음. 돈이 다인듯 다가 아님.|0,누드모아,,,,"""씨발"",",개눔,뺑씬,아굴,,
,쟤가 누군지도 모른는데 아이디를 왜 바꾸노? 단 두줄 적었는데 팩폭쳐맞고 뜨끔 했는지 댓글을 두개나 처달며 장황하게 개소리지껄이는거 보니 아주 뇌내망상 제대로 걸린 홍어틀딱 이신듯 홍딱어르신 자꾸 홍들홍들 거리시면 심근경색으로 착한홍어 될수 있으셔요^^,사살여부가 중요한게 아님|0,누드몰카TV,,,,"""씨방"",",개느마,뺘큐,얌마,,
,정은이한테 꿈깨라고 전해라 ㅋㅋ 그럴일없다미국이 미쳤다고 우리 받아주노?,다들 ㅁㅈㅎ 난 ㅇㅂ|0,누드뮤직,,,,"""씨방새"",",개늠,뻐어큐,양넘,,
,좆까,저기 올라오는거 99프로가 소설인데 그걸 또 사실인냥 믿고 퍼오는 새끼는 뇌가 있는새끼냐 이런새끼가 민좆당 뽑는 새끼들임 ㅁㅈㅎ|1,누드사진,,,,"""씨방세"",",개때꺄,뻐큐,양년,,
,앱등이새끼들 아닥하노?,지금 그이야기 하는건데|0,누드섹스,,,,"""씨밸"",",개때끼,뻐킹,양놈,,
,사법부가썩었다~!!!이거 완죤 좌빨씹새들하고 똑같네??진짜 허경영이 답이다,좆병신 새끼면 담부터 너한테 지랄 못한다|1,누드쇼,,,,"""씨뱅"",",개떼끼,뼝신,엄창,,
,민폐존나심하네ㅜ 와..,베댓 댓글은 틀딱일베라며 욕함|1,누드스케치,,,,"""씨벌"",",개랙기,뽀개,엠병,,
,시벌...ㅠ,책읽어주는것도아니고 지식니열해서 별로든데 . 애도 홍어아니냐|1,누드집,,,,"""씨벨"",",개련,뽀로노,여물통,,
,저런 지 지지자 간수 안하는 새퀴도 욕쳐먹어도 싸.,"도끼로 마빡을 걍.,...|1",누드천사,,,,"""씨봉"",",개발남아,뽀르나,염병,,
,저 사람 완치 됐고 문제는 티그가 아닌 씨오투 용접사였는데 마스크 따위 일절 안 쓰고 하다가 저 지경 된거 ㅋㅋㅋ 요즘 마스크 조올라 좋지 짱깨발 문세먼지도 확실히 ㅁㅈㅎ시켜주고,미국도 중국 파산하는걸 원하지는 않을걸|0,누드커플,,,,"""씨봉알"",",개발뇬,뽀르너,엿같,,
,아니 야 재벌2세도아니고 학원강사따위를 누가 질투를하냐 ㅋㅋㅋ ㅋㅋㅋ  그것때문은아니고지금 안그래도 경기 어려워서 취업난인데7등급 은 용접공같은 노가다나 뛰어라  하면서 노가다 비하해봐라 ㅋㅋㅋㅋ걍 씨발 누구나 다 화나지 ㅋㅋㅋㅋㅋㅋ '지는스타강사니까 저딴말을 편하게도하네? 씨발년이?'이런말나오는거지걍 정내미가 뚝 떨어짐,"<포춘(Fortune)> 하면 가장 먼저 떠오르는 것은 매년 발표되는 ‘미국 상위 500대 기업’, ‘세계 상위 500대 기업’ 등의 기업 순위일 것이다 --------------> 벌레들 포춘 모를까봐 직접 복 붙 한다.. 정말 우리 나라는 최고다라는 말도 부족하다|1",누드코리아,,,,"""씨부랄"",",개보즤,뽀르노,옘병,,
,요즘 보험사들 왜케 개소리를 잘한데요?,입만 벌리면 구라.|1,누드클럽,,,,"""씨부럴"",",개보지,뽀쥐,옘빙,,
,"ㄹㅇ 시발 그냥 ""다른 진로 생각해 보세요""라고만 했어도 욕 안처 먹었지.",8백만페소면 한화로 얼마인지 밝혀야지.|0,누드필름,,,,"""씨부렁"",",개부달,뽀지,오입,,
,일베벌레들은 일베인거 들키는 놈은 버림 ㅋㅋ,이로서 신라젠은 백퍼네 유사시민새끼가 설쳐되는 이유도 나왔고|1,누드화보,,,,"""씨부리"",",개부랄,뽀쮜,왜년,,
,니 수준이 딱 일베 표본이지,"시발 이제 만물 김무성이냐, 좌파 새끼들 만물 이명박과 똑같노|1",누들누드,,,,"""씨불"",",개부러럴,뽕알,왜놈,,
,토론에서 지면 현피를 뜨는 지능 수준 잘 알았다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,조선 수준나옴 힘들게 일하면 대우받는게 당연한건데|1,뉴스트립,,,,"""씨붕"",",개부럴,뿅신,욤병,,
,매도실패 개빢침ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,갓대중센세 모욕 ㅁㅈㅎ|0,다보자성인영화관,,,,"""씨브랄"",",개부뢀,뿅씬,육갑,,
,빨렙들이 퍼오는 정치글들 제목 보기만 해도 역겨움,"그럼 전기 발전할땐 이산화탄소 안나오냐?연구마다 다르기는 하지만, 비슷하거나 화력발전이 좀 더 적게 나오긴 한다던데결국 원자력으로 가야 큰 차이 남|0",다음섹스,,,,"""씨빠"",",개부알,뿡알,은년,,
,모자리크 해라 ㅛㅣ발,"치고 나갔겠냐? 우리나라 수준은 솔직히 상용화에 맞춰 물량 생산인프라 구축 수준이지 그 이상은 힘들지만 전기차 기술은 아티펙터 교환, 수명, 급속충전 곧 이 아니라 벌써 시작됬다고 생각한다.|0",다이섹스,,,,"""씨빨"",",개불알,쁑신,을년,,
,노가다 일베충 새끼들 ㅂㄷㅂㄷ하는거 보소ㅋㅋㅋㅋㅋ그러니까 공부좀 하지그랬노? ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ,추천~~~~~~~|0,대박성인토탈몰,,,,"""씨뽀랄"",",개삭구,삐꾸,이년,,
,존버하면 되지 ㅋㅋㅋㅋ,반대로 해석하면 될듯 현기가 꼴찌|0,더티섹스,,,,"""씨앙"",",개새,삥쉰,이새끼,,
,탈김치는 개뿔  김치 성형녀구만,쟤는 친중인척 |0,도쿄섹스,,,,"""씨엑스"",",개새끼,삥쒼,이새키,,
,ㄹㅇ걍보쌈대자시켜먹음 ㅂㅅ들,국내뿐 아니라 해외도 똑같음약관에 보면 무조건 100% 회사 맘대로 데이터 읽어보거나 활용할 수 있다고 되어있음서비스 클라우드는 털려도 상관없는 데이터만 사용하고 개인자료는 서버 구축하거나 나스 쓰는게 맞음아 메일도 마찬가지임|0,도쿄섹스nipon,,,,"""씨파"",",개색,삥씬,이스끼,,
,그 파도에 쓰레기 같은 부산물도 같이 떠밀려 오지만,아줌마? ㅋ 어캐 됨? ㅋㅋㅋ 아직 이야? ㅋㅋㅋㅋㅋㅋㅋㅋ 또 빤스런 ? ㅋㅋㅋㅋ|1,동양최고성고전,,,,"""씨팍"",",개색끼,사까시,이스키,,
,북한 새끼들도 도망치는게 시베리아인데 ㅋㅋㅋㅋㅋ,가형3등급 나형 2등급정도|0,두두섹스,,,,"""씨팔"",",개샊,사까치,임마,,
,보수가 또 주작을... 주작이 없으면 일베를 못와요...문재인되고 부동산 시대 저물었다고 집팔았다네ㅋㅋ 망상해서 일베오니 좋겠네~ㅋㅋㅋ,"1주일 안으로 여자가 답 주긴 할텐데,, 안될 가능성이 높음|0",뒷치기,,,,"""씨펄"",",개샛끼,사이버섹스,자슥,,
,못배웠으니 저러지 쯧쯧 수준 알만하다,이시간까지 어쩌고저쩌고 하시면 얼마버는지 말씀드리고 택시 잔돈안받고 걍 내림|0,드림페티쉬,,,,"""씨퐁"",",개샛키,사창가,잡것,,
,여긴 진짜 신기하게 특출난 메인보컬이 없다  다들 와꾸 딸려도 메인 하니씩은 꼭 집어넣는데지효빼면 다 심각한 수준이던데,취하네요 ㅎㅎ|0,등급보류성인영화관,,,,"""씨풍"",",개샛킹,사카시,잡넘,,
,나중에 병원에서 돈 다 쓰고 뒤진다,저러면 어쩌냐 용접 다시 녹일 수 있냐 ㅋ|0,디지털섹스조선,,,,"""씸년"",",개샛히,사카치,잡년,,
,길가다 짱깨어 떠드는 좆선족들 배에 칼침 놔줘라,잠바? 틀딱 ㅇㅂ|1,딸딸이,,,,"""씸뇬"",",개샜끼,삽쥘,잡놈,,
,므ㅓㄴ 씨벌 ㅋㅋㅋㅋㅋ,그걸 이제 알았냐트위터로 시간이랑 좌표 받고 꼭 3개씩 베댓 올리잖아 쟤네 ㅋㅋ공감순 제일 높이 있던 정부까는 댓글에는 반대폭탄 던져서 내리고.|0,떡걸,,,,"""씸새끼"",",개생키,삿가시,저년,,
,내가 반일 빨간약 먹은 걔기가 연대 출신 사회학 교수 수업듣고 부터였는데 ㅋㅋㅋ 성향은 좌빨이긴한데 식민사회 연구하면서 조선은 식민지 중에선 사정이 엄청 좋은 편이었고 일본이 조선에 돈 갖다 붓기만했다 한국의 민족주의 같은 정신적인 것부터 경제개발까지 일본 영향 안받은게 없다고 하드라고 하긴 팩트를 알면 어쩔 수가 없지,두 달 밀리면 바로 명도 준비함|0,떡치기,,,,"""씹같"",",개샠,삿까시,저새끼,,
,펨코에서 일본 존나 빠는새끼들도 일본 살다보면 아 한국이 그립구나 할텐데,좆문가 맞아여...|1,라노비아섹스샵,,,,"""씹년"",",개샤끼,삿깟시,접년,,
,ㅅㅂ 언덕이 70도는 되보임 ㅋㅋㅋ,암사역 시라소니였나 걔 닮았노|0,라이브10TV,,,,"""씹뇬"",",개샤킥,상년,젖밥,,
,병신새끼사표쓰고 나와서 T.O 하나 생기면 그자리는 또 시체팔이 민주팔이 씹새끼들한테 줄서기 바쁜 무능한 개새끼가 앉을게 뻔한데문가새끼 좋은 일 해놓고 뭐 잘했다고..어휴..검사라는 새끼가 생각이 저래 짧아갖고..ㅉㅉㅉㅉ,기차|0,라이브스트립,,,,"""씹덕"",",개샥,상노무,조까,,
,존나 띨띨해보이노,과목만 보면 그렇지 근데 수학은 상대평가잖아? 절대평가로 바뀌면 상관없지 ㅋㅋ|0,러브박사성인용품,,,,"""씹덕후"",",개샹늠,상놈,조까치,,
,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ피로감 지랄 씨발 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ다른 시대에 살다왔냐강점기 시절에 살다온 산송장이면 ㅇㅈ,찾아보니 역시 인도 최상위계층 브라만임 개부자|0,러브베드,,,,"""씹물"",",개세,새꺄,조낸,,
,와... 이런 오지는 백마들이랑 섹스러운 사진 찍다보면 떡도치겠지?,벙.신같은게 프로토가 어째 단폴만되냐?개.벙신아 무슨 사설하냐?|1,러브섹시클럽,,,,"""씹새"",",개세끼,새뀌,조또,,
,여자가 개또라이년맞으니까 저런년 걍 방생하고 죽이면된다.절대 남자가 백번 잘했다.,참고로 위에 게시물 내용은 |0,러브장,,,,"""씹새기"",",개세리,새끠,조랭,,
,아무것도 아닌것처럼 씨부리면서명의 이전에 목숨거는게 간악해보이는데? ㅋ그게 아무것도 아니면 지년 애비 집 지분 일부 남자에게 명의 이전 좀'시원하게' 해주지 그러노 교활한 한국년들,끝난건아는데 다시보고또보고 이지랄하길래요..|1,러브젤,,,,"""씹새끼"",",개세키,새끼,조빠,,
